,Production Index Machinery & Electricals,Shipments Index Machinery & Electricals,France: Machinery and equipment n.e.c.,France: Electrical equipment
2004m2,112,83,118,102
2004m3,136,106,148,117
2004m4,118,92,125,105
2004m5,109,86,117,97
2004m6,134,107,143,118
2004m7,117,89,122,110
2004m8,79,72,79,79
2004m9,130,99,136,121
2004m10,120,100,121,118
2004m11,115,87,118,110
2004m12,123,104,132,108
2005m1,110,90,114,103
2005m2,113,87,120,100
2005m3,133,107,145,114
2005m4,120,93,130,103
2005m5,114,94,125,97
2005m6,137,110,148,121
2005m7,114,89,121,102
2005m8,79,75,80,78
2005m9,132,103,137,123
2005m10,121,100,122,121
2005m11,123,94,127,116
2005m12,130,106,139,116
2006m1,112,94,111,112
2006m2,118,92,125,108
2006m3,145,114,156,128
2006m4,119,95,129,104
2006m5,124,100,131,113
2006m6,145,115,151,134
2006m7,120,95,127,109
2006m8,88,80,89,87
2006m9,136,110,143,126
2006m10,135,113,139,128
2006m11,130,104,132,126
2006m12,133,109,146,113
2007m1,119,103,121,115
2007m2,125,102,130,117
2007m3,149,123,161,129
2007m4,130,106,139,115
2007m5,125,106,133,112
2007m6,149,124,157,135
2007m7,134,108,140,125
2007m8,96,87,97,95
2007m9,138,114,145,125
2007m10,144,125,145,141
2007m11,138,111,142,131
2007m12,128,113,139,109
2008m1,125,112,129,119
2008m2,137,114,144,127
2008m3,153,122,167,130
2008m4,148,120,161,127
2008m5,131,110,143,113
2008m6,153,132,163,136
2008m7,134,114,138,127
2008m8,87,86,87,88
2008m9,142,123,148,131
2008m10,133,122,132,134
2008m11,118,105,122,111
2008m12,125,116,135,108
2009m1,95,96,95,93
2009m2,98,95,101,93
2009m3,113,111,121,100
2009m4,97,96,100,92
2009m5,86,89,88,83
2009m6,106,110,106,105
2009m7,92,93,89,96
2009m8,64,74,62,66
2009m9,103,103,104,101
2009m10,97,101,90,108
2009m11,93,93,88,101
2009m12,98,105,99,97
2010m1,82,87,79,87
2010m2,93,91,94,90
2010m3,113,111,118,106
2010m4,98,98,97,99
2010m5,94,92,94,93
2010m6,115,116,117,112
2010m7,96,96,94,99
2010m8,71,77,68,76
2010m9,114,109,116,111
2010m10,108,106,106,111
2010m11,105,101,102,111
2010m12,111,115,115,105
2011m1,97,97,96,98
2011m2,103,100,104,102
2011m3,122,121,127,114
2011m4,104,102,106,102
2011m5,114,107,117,109
2011m6,109,113,111,106
2011m7,102,101,104,98
2011m8,75,84,71,82
2011m9,115,118,118,110
2011m10,105,109,102,109
2011m11,111,107,111,110
2011m12,110,119,116,100
2012m1,97,101,95,100
2012m2,102,104,105,96
2012m3,117,120,125,103
2012m4,100,103,104,94
2012m5,96,99,100,91
2012m6,114,118,117,110
2012m7,108,104,113,100
2012m8,75,84,74,76
2012m9,111,112,115,104
2012m10,110,118,109,111
2012m11,104,107,104,104
2012m12,106,112,117,86
2013m1,92,97,90,95
2013m2,94,100,94,95
2013m3,110,114,111,108
2013m4,103,107,105,99
2013m5,95,100,97,93
2013m6,112,112,116,107
2013m7,108,103,110,105
2013m8,66,81,64,71
2013m9,107,113,110,102
2013m10,109,115,109,110
2013m11,100,102,102,97
2013m12,104,112,109,97
2014m1,92,96,93,91
2014m2,96,98,100,89
2014m3,112,113,116,105
2014m4,101,105,104,96
2014m5,88,95,92,83
2014m6,111,114,119,97
2014m7,104,100,108,97
2014m8,62,80,61,63
2014m9,109,113,116,98
2014m10,102,111,103,99
2014m11,95,99,98,91
2014m12,114,115,126,94
2015m1,86,93,89,81
2015m2,90,95,94,83
2015m3,111,118,117,102
2015m4,97,105,102,90
2015m5,84,93,89,78
2015m6,118,123,128,102
2015m7,98,100,102,91
2015m8,65,81,65,65
2015m9,108,116,114,98
2015m10,103,111,108,94
2015m11,94,104,98,88
2015m12,103,119,114,86
2016m1,85,93,89,79
2016m2,95,101,102,84
2016m3,108,116,115,97
2016m4,97,105,103,86
2016m5,91,99,96,84
2016m6,108,122,113,99
2016m7,90,91,95,83
2016m8,69,82,69,69
2016m9,106,113,111,98
2016m10,95,106,99,88
2016m11,97,108,98,96
2016m12,107,116,117,91
2017m1,86,97,88,82
2017m2,89,99,92,84
2017m3,115,125,123,103
2017m4,91,101,95,84
2017m5,96,106,100,89
2017m6,109,124,118,96
2017m7,94,98,102,83
2017m8,68,89,71,63
2017m9,104,116,110,93
2017m10,108,117,116,93
2017m11,101,116,106,92
2017m12,101,118,111,85
2018m1,91,104,95,85
2018m2,92,105,97,82
2018m3,112,122,123,95
2018m4,92,107,97,84
2018m5,88,102,93,82
2018m6,110,127,119,95
2018m7,101,105,110,86
2018m8,68,93,71,64
2018m9,98,111,105,85
2018m10,108,122,115,98
2018m11,100,116,105,91
2018m12,95,115,105,78
2019m1,90,108,95,82
2019m2,93,109,100,80
2019m3,108,127,117,92
2019m4,99,115,107,86
2019m5,95,111,101,84
2019m6,99,122,106,87
2019m7,100,107,107,90
2019m8,65,89,67,63
2019m9,101,115,109,88
2019m10,101,121,106,95
2019m11,95,110,102,82
2019m12,93,119,104,76
2020m1,86,104,91,79
2020m2,90,106,97,79
2020m3,78,95,83,69
2020m4,51,64,54,45
2020m5,66,78,70,60
2020m6,94,119,99,85
2020m7,91,98,97,82
2020m8,59,83,60,58
2020m9,95,112,100,86
2020m10,100,113,106,90
2020m11,94,117,100,84
2020m12,94,120,105,76
2021m1,84,98,89,76
2021m2,89,108,94,81
2021m3,109,129,119,95
2021m4,94,115,100,83
2021m5,86,103,93,76
2021m6,107,136,115,94
2021m7,95,101,104,82
2021m8,64,91,65,61
2021m9,102,118,109,90
2021m10,97,117,103,89
2021m11,94,116,98,88
2021m12,101,135,113,81
2022m1,86,108,91,78
2022m2,91,118,98,79
2022m3,108,137,115,97
2022m4,88,117,92,81